kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
point,Surface reconstruction,visible curve marker,60.0,3.378299,650.889,655.08,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,57.5,visible path,629.685,646.609,,none,,raster_supported_connection,650.889,655.08,#2ba3ca,2
point,Surface reconstruction,visible curve marker,62.5,3.366234,672.093,664.159,7,#2ba3ca,0.8619,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,60.0,visible path,650.889,655.08,,none,,raster_supported_connection,672.093,664.159,#2ba3ca,2
point,Surface reconstruction,visible curve marker,65.0,3.380683,693.296,653.286,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,62.5,visible path,672.093,664.159,,none,,raster_supported_connection,693.296,653.286,#2ba3ca,2
point,Surface reconstruction,visible curve marker,67.5,3.366146,714.5,664.225,7,#2ba3ca,0.8284,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,65.0,visible path,693.296,653.286,,none,,raster_supported_connection,714.5,664.225,#2ba3ca,2
point,Surface reconstruction,visible curve marker,70.0,3.366465,735.704,663.985,7,#2ba3ca,0.8517,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,67.5,visible path,714.5,664.225,,none,,raster_supported_connection,735.704,663.985,#2ba3ca,2
point,Surface reconstruction,visible curve marker,77.5,3.303987,799.315,711.0,7,#2ba3ca,0.4698,calibrated_raster_trace,,,,
point,Surface reconstruction,visible curve marker,80.0,3.307425,820.519,708.412,7,#2ba3ca,0.7795,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,77.5,visible path,799.315,711.0,,none,,raster_supported_connection,820.519,708.412,#2ba3ca,2
point,Surface reconstruction,visible curve marker,82.5,3.316669,841.722,701.457,7,#2ba3ca,0.8734,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,80.0,visible path,820.519,708.412,,none,,raster_supported_connection,841.722,701.457,#2ba3ca,2
point,Surface reconstruction,visible curve marker,85.0,3.33129,862.926,690.454,7,#2ba3ca,0.8746,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,82.5,visible path,841.722,701.457,,none,,raster_supported_connection,862.926,690.454,#2ba3ca,2
point,Surface reconstruction,visible curve marker,87.5,3.34711,884.13,678.55,7,#2ba3ca,0.8759,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,85.0,visible path,862.926,690.454,,none,,raster_supported_connection,884.13,678.55,#2ba3ca,2
point,Surface reconstruction,visible curve marker,90.0,3.363735,905.333,666.04,7,#2ba3ca,0.8505,calibrated_raster_trace,,,,
